year,sex,lfpr
1991,male,79.4
1991,female,48
1992,male,79.4
1992,female,48.6
1993,male,78.8
1993,female,48
1994,male,79.2
1994,female,48.6
1996,male,78.7
1996,female,49.9
1997,male,78.2
1997,female,49.5
1998,male,77.4
1998,female,49.4
1999,male,77.8
1999,female,50.7
2001,male,77.7
2001,female,51.6
2002,male,77.2
2002,female,50.6
2003,male,76.1
2003,female,50.9
2004,male,75.7
2004,female,51.3
2006,male,76.2
2006,female,54.3
2007,male,76.3
2007,female,54.2
2008,male,76.1
2008,female,55.6
2009,male,76.3
2009,female,55.2
2010,male,76.5
2010,female,56.5
2011,male,75.6
2011,female,57
2012,male,76
2012,female,57.7
2013,male,75.8
2013,female,58.1
2014,male,75.9
2014,female,58.6
2015,male,76.7
2015,female,60.4
2016,male,76.2
2016,female,60.4
2017,male,76
2017,female,59.8
2018,male,75.6
2018,female,60.2
2019,male,75.4
2019,female,61.1
2020,male,75.4
2020,female,61.2
2021,male,77.2
2021,female,64.2
2022,male,77
2022,female,63.4
